Id,PLU,Name,Category,Active
668928,,Bieslookvinaigrette,Sauce cold,TRUE
1371136,,Mosterdsaus,Sauce hot,TRUE
668931,,Romboutje,Prepared dishes,TRUE
668936,,Stoofvleessaus,Sauce hot,TRUE
668938,,Julientje,Prepared dishes,TRUE
668940,,Frikandel,Snacks,TRUE
668941,,Frikandel speciaal,Snacks,TRUE
668943,,Vleesbrochette (varken),Snacks,TRUE
668944,,Hamburgerschijf,Snacks,TRUE
668945,,Zigeunerstick,Snacks,TRUE
668947,,Mergueze saté,Snacks,TRUE
668948,,Visbrochette,Snacks,TRUE
668949,,Mini-megamix,Snacks,TRUE
668951,,Crizly pikant,Snacks,TRUE
1847064,,duomousse,Dessert,TRUE
668952,,Kippenboutjes,Snacks,TRUE
668953,,Ardeense saté,Snacks,TRUE
668954,,Kalkoenstick,Snacks,TRUE
668956,,Kalkoenbrochette v/h huis,"Chicken, Turkey & poultry",TRUE
668957,,Scampi-brochette v/h huis,Shellfish,TRUE
668958,,Kaasballetjes,Snacks,TRUE
668959,,kipkaasdonut,Snacks,TRUE
1848352,,Chocolademouse wit,Dessert,TRUE
1311777,,Witloof met ham,,TRUE
668961,,Viandel,Snacks,TRUE
668962,,Viandel speciaal,Snacks,TRUE
668963,,Spicy viandel,Snacks,TRUE
668964,,Mexicano,Snacks,TRUE
668965,,Vleeskroket,Snacks,TRUE
1257254,,Scampi’s Diabolique,Prepared dishes,TRUE
668968,,Boulet,Snacks,TRUE
668969,,Boulet speciaal,Snacks,TRUE
668971,,Kipcorn,Snacks,TRUE
668972,,Kipfingers,Snacks,TRUE
668974,,Kippets,Snacks,TRUE
668975,,Taco,Snacks,TRUE
649008,,Puree,Potato dishes,TRUE
668977,,Mammoet,Snacks,TRUE
1506609,,Wortelen,Vegetables,TRUE
860978,,Bicky oranje saus,Sauce cold,TRUE
668978,,Ribster,Snacks,TRUE
668979,,Bitterballen,Snacks,TRUE
668980,,Mini loempia’s,Snacks,TRUE
668982,,Mozarellasticks,Snacks,TRUE
668983,,Loempia (met kip),,TRUE
1940279,,scampi’s saus,Sauce cold,TRUE
668984,,Vuurvreter,Snacks,TRUE
654648,,Stoofvlees,Prepared dishes,TRUE
668985,,Cheese crack,Snacks,TRUE
668988,,Garnalenkroket,Shellfish,TRUE
668989,,Kaaskroket,Snacks,TRUE
668990,,Kaassouflé,Snacks,TRUE
668991,,Lookworst (rood),Snacks,TRUE
1335871,,kippenmarinade,Semifinished products,TRUE
654656,,Vol-au-vent,Prepared dishes,TRUE
668993,,Jagerworst (bruin),Meat preparations of crunched meat,TRUE
668994,,Bockworst,Snacks,TRUE
860995,,BELL’saus,Sauce cold,TRUE
668995,,Smullbox,Snacks,TRUE
1484099,,Tonijn perzik,Prepared dishes,TRUE
668996,,Mosselen in potje,Shellfish,TRUE
654660,,Tomatensaus,Sauce hot,TRUE
1335621,,Hesp (6st),Salads,TRUE
668998,,Mini-lucifers,Snacks,TRUE
669000,,Bami balletjes,Snacks,TRUE
1335625,,Salami (6st),Salads,TRUE
1312586,,Scampi's Creme pasta,Prepared dishes,TRUE
669004,,Stokbroodje,Bread and rolls,TRUE
654668,,Balletjes (gehakt),Meat preparations of crunched meat,TRUE
669009,,Broodje préparé,Sandwiches,TRUE
669011,,Broodje kaas,Sandwiches,TRUE
669014,,Broodje hesp,Sandwiches,TRUE
654678,,Spaghettisaus,Semifinished products,TRUE
669016,,Broodje tonijn,Sandwiches,TRUE
669017,,Broodje kaas&hesp,Sandwiches,TRUE
669019,,Broodje krabsalade,Sandwiches,TRUE
669028,,Bicky burger,Burgers,TRUE
656486,,balletjes in tomatensaus met puree,Prepared dishes,TRUE
669030,,Bicky cheese burger,Burgers,TRUE
1372518,,Jambonneau,Hot meals,TRUE
659047,,Américain natuur,Prepared dishes,TRUE
656488,,Frietjes,Potato dishes,TRUE
1508458,,Haksel,Spice,TRUE
669034,,Bicky burger (3 sauzen),Burgers,TRUE
1508459,,Passendaele mix,Spice,TRUE
1256811,,Scampi’s crème,Prepared dishes,TRUE
669040,,Bicky chicken,Burgers,TRUE
658546,,Béchamel,Sauce hot,TRUE
669042,,Bicky rib,Burgers,TRUE
669044,,Bicky rib (3 sauzen),Burgers,TRUE
658550,,Tagliatelli saus,Sauce hot,TRUE
669048,,Bicky fish,Burgers,TRUE
658553,,Scampi saus,Prepared dishes,TRUE
669049,,Bicky crispy,Burgers,TRUE
